                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6097,                 2.8466,                0.74658,                0.32365,                0.11032,                0.06813,                0.03564,                 0.8005,                  1.323,                0.25739,             0.00017255,             0.00017255,             0.00017255
                      2,                0.83336,                0.73195,                0.23171,                0.65847,                0.45295,                0.44111,                0.25894,                0.67432,                0.62842,                0.18445,             0.00034444,             0.00034444,             0.00034444
                      3,                0.68247,                0.55418,                0.16616,                0.75208,                0.60159,                 0.5954,                0.34482,                0.59246,                0.54025,                0.14617,             0.00051286,             0.00051286,             0.00051286
                      4,                0.62911,                0.51319,                0.14039,                0.76896,                0.64453,                0.65653,                0.38848,                0.57857,                 0.5281,                0.14198,             0.00051038,             0.00051038,             0.00051038
                      5,                0.57939,                0.49972,                0.13015,                0.80654,                0.69872,                 0.7028,                0.41279,                 0.5679,                0.50806,                0.13792,             0.00050517,             0.00050517,             0.00050517
                      6,                0.58946,                0.48751,                0.12802,                0.73811,                0.74654,                0.78188,                0.46643,                0.55141,                0.49877,                0.12973,             0.00049996,             0.00049996,             0.00049996
                      7,                0.55221,                0.48701,                 0.1184,                0.70299,                0.82642,                0.80915,                0.48822,                0.53255,                0.48373,                0.12526,             0.00049476,             0.00049476,             0.00049476
                      8,                0.55202,                0.48547,                0.11459,                0.76374,                0.83338,                0.83242,                0.50114,                0.51826,                0.48495,                0.12153,             0.00048955,             0.00048955,             0.00048955
                      9,                0.53639,                0.47545,                0.11325,                0.77123,                0.80467,                0.84014,                0.51341,                0.50274,                0.48193,                0.11704,             0.00048434,             0.00048434,             0.00048434
                     10,                0.52785,                0.46919,                0.11352,                0.80904,                0.81288,                 0.8537,                0.51823,                0.50463,                0.47668,                0.11826,             0.00047913,             0.00047913,             0.00047913
                     11,                0.52836,                0.46474,                0.10972,                0.83272,                0.79658,                0.85293,                0.51222,                0.51217,                0.47421,                0.12154,             0.00047393,             0.00047393,             0.00047393
                     12,                0.51679,                0.46213,                0.10682,                0.82349,                0.82417,                 0.8541,                0.51668,                 0.5118,                0.47461,                0.12119,             0.00046872,             0.00046872,             0.00046872
                     13,                0.51285,                0.46004,                0.10671,                0.77191,                0.83579,                0.84861,                0.51315,                0.48877,                0.47702,                0.11771,             0.00046351,             0.00046351,             0.00046351
                     14,                0.50466,                0.45946,                 0.1019,                0.78991,                0.85839,                0.86333,                0.53419,                0.49945,                0.47497,                0.11279,              0.0004583,              0.0004583,              0.0004583
                     15,                0.48769,                0.45347,                0.09995,                0.84778,                0.82723,                0.86843,                 0.5321,                0.48835,                0.48038,                0.11335,              0.0004531,              0.0004531,              0.0004531
                     16,                0.48565,                0.45299,                0.09976,                 0.7818,                0.84015,                0.85978,                0.53584,                0.49028,                0.47135,                 0.1151,             0.00044789,             0.00044789,             0.00044789
                     17,                0.49433,                0.45149,                0.09774,                0.82518,                 0.8071,                0.87868,                0.54659,                0.47491,                0.46265,                0.11112,             0.00044268,             0.00044268,             0.00044268
                     18,                0.48166,                 0.4455,                0.09803,                0.83522,                0.83562,                0.86479,                0.53313,                0.50345,                0.47795,                0.11522,             0.00043747,             0.00043747,             0.00043747
                     19,                0.49194,                 0.4512,                0.09881,                0.82316,                0.83316,                0.85922,                0.52453,                0.49272,                0.47706,                0.11745,             0.00043227,             0.00043227,             0.00043227
                     20,                0.47775,                0.44465,                0.09799,                0.86183,                0.80105,                0.88283,                 0.5607,                 0.4691,                0.47257,                0.11172,             0.00042706,             0.00042706,             0.00042706
                     21,                0.47012,                0.44125,                0.09332,                 0.8284,                0.85553,                0.89442,                0.55873,                0.46702,                0.46338,                0.10955,             0.00042185,             0.00042185,             0.00042185
                     22,                 0.4748,                 0.4457,                0.09557,                0.81076,                0.84821,                0.88214,                0.54403,                0.48565,                0.46336,                0.11227,             0.00041664,             0.00041664,             0.00041664
                     23,                0.48062,                0.44717,                0.09446,                0.84691,                0.84285,                0.88403,                0.55037,                0.47606,                0.46566,                0.10947,             0.00041144,             0.00041144,             0.00041144
                     24,                0.47476,                0.44113,                0.09367,                0.79651,                0.88219,                0.89366,                0.55612,                0.47938,                0.46154,                0.11081,             0.00040623,             0.00040623,             0.00040623
                     25,                0.46401,                 0.4316,                0.08821,                 0.8325,                0.83904,                0.88577,                0.56138,                0.46779,                0.46906,                0.11054,             0.00040102,             0.00040102,             0.00040102
                     26,                0.45713,                0.43653,                0.08995,                0.87421,                0.83378,                0.90526,                0.56184,                0.46666,                0.45252,                0.10639,             0.00039581,             0.00039581,             0.00039581
                     27,                 0.4509,                0.43104,                0.08924,                0.82622,                0.85783,                0.88536,                0.54992,                0.47874,                0.45551,                0.11227,             0.00039061,             0.00039061,             0.00039061
                     28,                0.44965,                0.42922,                0.08677,                0.85967,                 0.8459,                0.89561,                0.55896,                0.47141,                0.45654,                0.11279,              0.0003854,              0.0003854,              0.0003854
                     29,                0.44978,                0.43096,                0.08805,                0.83848,                0.86868,                0.89128,                0.56277,                 0.4709,                0.45893,                0.10805,             0.00038019,             0.00038019,             0.00038019
                     30,                0.45579,                0.42996,                0.08821,                0.83717,                0.85845,                0.89596,                0.57097,                0.46686,                0.45351,                0.10557,             0.00037499,             0.00037499,             0.00037499
                     31,                0.44468,                0.42949,                0.08555,                0.82907,                0.87616,                0.89706,                0.56099,                0.46801,                0.45928,                0.10797,             0.00036978,             0.00036978,             0.00036978
                     32,                 0.4482,                0.43065,                0.08973,                0.85773,                0.88415,                 0.9048,                0.56993,                0.48045,                  0.466,                0.11485,             0.00036457,             0.00036457,             0.00036457
                     33,                  0.447,                0.43414,                 0.0862,                0.87602,                0.81592,                0.88789,                0.56581,                0.46909,                0.46927,                0.10923,             0.00035936,             0.00035936,             0.00035936
                     34,                0.44642,                0.42397,                0.08729,                0.82952,                0.86692,                 0.8909,                0.56114,                0.46407,                0.46246,                0.10789,             0.00035416,             0.00035416,             0.00035416
                     35,                0.43428,                0.42552,                0.08213,                0.85004,                0.84631,                0.89106,                0.56042,                0.47327,                 0.4683,                0.11446,             0.00034895,             0.00034895,             0.00034895
                     36,                0.42903,                 0.4243,                0.08373,                 0.8536,                0.84895,                0.88394,                0.56123,                0.46463,                0.46693,                0.10769,             0.00034374,             0.00034374,             0.00034374
                     37,                0.44079,                0.42328,                0.08285,                0.83294,                0.86721,                0.89257,                 0.5548,                0.46194,                0.46229,                0.10903,             0.00033853,             0.00033853,             0.00033853
                     38,                0.43664,                0.42563,                0.08528,                0.83062,                0.87266,                0.90262,                0.56571,                0.45852,                0.46572,                0.10691,             0.00033333,             0.00033333,             0.00033333
                     39,                0.42934,                0.41985,                0.08026,                0.84929,                0.85429,                0.89398,                0.56905,                0.45426,                0.45618,                0.10399,             0.00032812,             0.00032812,             0.00032812
                     40,                0.42295,                0.41613,                0.08013,                0.86163,                0.84033,                0.89993,                0.56981,                0.46056,                0.45951,                 0.1099,             0.00032291,             0.00032291,             0.00032291
                     41,                0.42754,                 0.4175,                0.08164,                 0.8606,                0.87284,                0.89362,                0.56655,                0.46656,                0.46877,                0.11036,              0.0003177,              0.0003177,              0.0003177
                     42,                0.43365,                0.41498,                0.08206,                0.87266,                 0.8559,                0.90098,                0.56849,                0.46332,                0.45658,                0.10991,              0.0003125,              0.0003125,              0.0003125
                     43,                 0.4333,                0.41468,                0.08044,                0.81813,                0.85758,                0.88782,                 0.5748,                0.46173,                0.45794,                0.10811,             0.00030729,             0.00030729,             0.00030729
                     44,                0.42378,                0.41525,                0.08214,                0.81894,                0.87701,                0.88834,                0.56466,                0.46252,                0.47251,                0.10738,             0.00030208,             0.00030208,             0.00030208
                     45,                0.42148,                0.41419,                0.08064,                0.86276,                0.85921,                0.90176,                0.57691,                0.45702,                0.45814,                0.10666,             0.00029687,             0.00029687,             0.00029687
