                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3652,                 4.4891,                 2.5012,                0.66623,                0.49128,                0.59277,                0.33489,                  3.062,                 2.3507,                 2.4396,             0.00017255,             0.00017255,             0.00017255
                      1,                 3.3652,                 4.4891,                 2.5012,                0.66623,                0.49128,                0.59277,                0.33489,                  3.062,                 2.3507,                 2.4396,             0.00017255,             0.00017255,             0.00017255
                      2,                 3.1612,                 2.2519,                 2.3719,                0.61427,                0.58332,                0.63715,                0.36986,                 3.2092,                 2.2835,                 2.5101,             0.00034444,             0.00034444,             0.00034444
                      3,                  3.177,                 2.0742,                 2.3988,                0.66599,                0.62812,                0.65501,                0.34995,                 3.1478,                 2.0955,                 2.4963,             0.00051286,             0.00051286,             0.00051286
                      4,                 3.1194,                 1.9342,                 2.3676,                0.70066,                 0.6513,                0.70049,                0.38806,                 3.1559,                 1.9085,                 2.5518,             0.00051038,             0.00051038,             0.00051038
                      5,                 3.0783,                 1.8416,                 2.3611,                0.73718,                0.64486,                0.70465,                0.39711,                 3.1188,                 1.7832,                 2.4707,             0.00050517,             0.00050517,             0.00050517
                      6,                 3.0836,                  1.809,                 2.3483,                 0.7144,                0.68269,                0.72739,                0.40063,                 3.1318,                 1.7591,                 2.4843,             0.00049996,             0.00049996,             0.00049996
                      7,                 3.0305,                 1.7264,                 2.3283,                0.75362,                0.66661,                0.73387,                0.41432,                 3.1072,                  1.876,                 2.4366,             0.00049476,             0.00049476,             0.00049476
                      8,                  2.983,                 1.6564,                 2.2977,                0.73315,                0.69433,                0.72194,                0.40502,                 3.0309,                 1.6498,                 2.4404,             0.00048955,             0.00048955,             0.00048955
                      9,                 2.9023,                 1.5896,                  2.265,                0.73287,                0.73819,                0.78597,                0.44991,                 3.0692,                 1.6225,                 2.4203,             0.00048434,             0.00048434,             0.00048434
                     10,                 2.8988,                 1.5765,                 2.2761,                0.76255,                 0.7215,                0.77546,                 0.4501,                 3.1041,                 1.6024,                 2.4218,             0.00047913,             0.00047913,             0.00047913
