                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.1288,                 9.2525,                 8.4474,                      0,                      0,                      0,                      0,                 6.4303,                   8.16,                 8.3098,             0.00017255,             0.00017255,             0.00017255
                      2,                 5.8216,                 8.7604,                 7.8318,                      0,                      0,                      0,                      0,                 6.6505,                 8.4396,                 8.6573,             0.00034444,             0.00034444,             0.00034444
                      3,                 5.4899,                 8.0777,                 7.1558,                0.16312,                0.22594,                0.05886,                0.02067,                 5.4128,                 7.4776,                 6.6406,             0.00051286,             0.00051286,             0.00051286
                      4,                 5.0704,                 7.6382,                 6.6099,                0.44454,                0.07421,                0.04873,                0.01536,                 5.5129,                 11.278,                 6.6375,             0.00051038,             0.00051038,             0.00051038
                      5,                 4.7566,                 7.2518,                 6.1528,                0.22317,                0.12312,                0.06276,                0.01984,                 5.4759,                 8.4726,                 6.5615,             0.00050517,             0.00050517,             0.00050517
                      6,                 4.4152,                 6.9258,                 5.7979,                0.23875,                0.08149,                0.03587,                0.01141,                 5.3355,                 7.8649,                 6.5219,             0.00049996,             0.00049996,             0.00049996
                      7,                 4.1948,                 6.7584,                 5.5373,                  0.251,                0.13159,                0.09204,                0.03587,                  5.143,                 7.1863,                 6.4477,             0.00049476,             0.00049476,             0.00049476
                      8,                 4.0157,                 6.5724,                 5.3041,                 0.3367,                0.14272,                0.09693,                0.04278,                 5.2149,                 8.4344,                 6.4375,             0.00048955,             0.00048955,             0.00048955
                      9,                 3.8522,                 6.4333,                 5.1501,                0.37365,                0.10689,                0.09583,                   0.04,                 5.1416,                 6.6842,                 6.3185,             0.00048434,             0.00048434,             0.00048434
                     10,                 3.7839,                 6.2856,                 5.0191,                0.23265,                0.17676,                0.09425,                0.04113,                 5.1888,                 6.6491,                 6.3208,             0.00047913,             0.00047913,             0.00047913
                     11,                 3.7343,                 6.1843,                 4.9456,                0.35656,                0.15691,                0.10746,                0.04674,                 5.0682,                 6.4239,                 6.2974,             0.00047393,             0.00047393,             0.00047393
                     12,                 3.6205,                 6.0553,                 4.8078,                0.37472,                0.14363,                0.09822,                0.03673,                 5.0747,                 6.5204,                 6.1959,             0.00046872,             0.00046872,             0.00046872
                     13,                 3.5553,                 5.9855,                  4.751,                 0.4385,                0.16033,                0.12434,                0.04921,                 5.1901,                 6.2766,                 6.4641,             0.00046351,             0.00046351,             0.00046351
                     14,                  3.537,                  5.856,                 4.7063,                0.42736,                0.13298,                0.12806,                0.05204,                  4.932,                 5.9857,                 6.1014,              0.0004583,              0.0004583,              0.0004583
                     15,                 3.4582,                  5.782,                  4.622,                0.47715,                0.15408,                0.14142,                0.06368,                 4.7132,                 6.2455,                 5.8811,              0.0004531,              0.0004531,              0.0004531
